month,mean,median,std,min,max
01-01-2,32.19978597975,32.646642685,3.898297276293305,18.45056534,41.82432938
01-02-2,38.04542274338194,38.32929611,6.4621977523916785,17.63474846,62.56224823
01-03-2,33.09022620919444,33.11257553,4.694805483311806,21.20129204,60.11994553
01-04-2,32.031271220961806,33.12191582,6.510934298880175,13.51083279,52.92228317
01-05-2,38.65243524905555,38.975471495,6.567979867268385,17.0011692,59.61127472
01-06-2,35.92679274536111,35.22746277,6.888539180155296,14.17050457,69.93722534
01-07-2,30.598147688656248,29.945112225,5.978493291359086,14.65262127,66.17998505
01-08-2,60.540404797267364,61.087041854999995,10.38224098231142,23.32386971,94.11847687
01-09-2,42.49470400914236,42.566112520000004,8.818479643246674,13.51083279,80.59144592
01-10-2,41.62998366615625,41.327707294999996,7.760327841280678,18.66615677,68.30797577
01-11-2,28.54901041845139,28.0279417,3.8446068732866507,15.1571207,48.67921829
02-01-2,33.473242639125,34.094032285,4.664457493523623,18.14762306,45.6276741
02-02-2,36.03854748246875,36.4540596,8.303224896995888,13.51083279,66.19974518
02-03-2,39.903037084423616,39.627738955,7.789074776416857,23.90272903,79.3147049
02-04-2,32.24172182083681,32.285640715,6.36901295641423,13.51083279,56.40938568
02-05-2,35.99176603163195,35.64717292500001,7.819200949488276,13.51083279,85.82824707
02-06-2,42.70725273684375,42.25066185,8.32510512763442,15.05128384,79.20399475
02-07-2,42.652307139923614,35.86442375,17.33419640025171,13.51112366,143.6330872
02-08-2,60.05136031384375,59.471006395,12.404337881633426,19.46765518,110.9036865
02-09-2,32.23240789200347,32.238628385,5.619445598569349,13.5120573,58.48684311
02-10-2,31.927183849340278,32.017705915,4.5172875939974,18.09010124,48.81666565
02-11-2,34.57162926067361,33.614889145,6.1901101239422855,13.62997723,78.14791107
03-01-2,33.501298934239585,33.864135739999995,3.9622600060839317,18.62018394,45.00377274
03-02-2,34.84567060796875,34.4091835,6.97431909943543,13.51083279,62.79349518
03-03-2,42.49895373983681,42.200000765,8.949179103348605,24.25541306,80.79972839
03-04-2,30.181209084756944,29.993072509999998,4.087226366275158,15.8787756,43.82672501
03-05-2,39.04707425363195,39.505308150000005,7.237500534918944,16.16530228,65.44087219
03-06-2,52.84696822509723,49.491991045,16.257170923130833,22.85152435,157.2987213
03-07-2,51.26598587922916,50.124740599999996,11.66334023735227,15.23838997,101.5196381
03-08-2,59.636813138076384,59.144773485,13.41026660554597,18.61879349,125.7439423
03-09-2,39.61202715274653,37.501737594999994,9.962521811131383,13.51083279,85.36988831
03-10-2,35.36141283310417,34.19661903,7.091722192783258,13.51142406,67.99402618
03-11-2,31.984104008046668,31.667363165,5.8285643981168205,13.51083279,56.3511734
04-01-2,32.46168165140278,32.672279360000005,4.1899943339815815,19.34100533,47.95513153
04-02-2,34.094651297024306,34.86363411000001,6.41760050731459,16.04413033,56.64209366
04-03-2,43.21677293444097,43.59805107,8.326958383459615,16.51718521,85.10227966
04-04-2,32.92666622201736,33.560838700000005,4.227006687390877,17.8158474,44.30760574
04-05-2,39.82339713578819,39.402355195,8.7825418093094,15.88703346,86.85824585
04-06-2,55.3521073176875,53.17981528999999,15.99323058320949,13.51083279,139.947113
04-07-2,53.90823993086458,53.574031829999996,9.716728642470859,19.3590374,89.35047913
04-08-2,62.356201735659724,60.244852065,15.595486439628704,29.07582664,158.9910736
04-09-2,48.03788736295833,44.920320509999996,13.224668098853416,15.62413597,112.1126785
04-10-2,31.972042875611113,32.038517,6.391292866685665,13.51083279,63.66597748
04-11-2,41.42180446910764,42.14765549,7.601247649351837,19.44678688,64.62916565
05-01-2,37.1995816903125,37.173217775,6.227389550804949,13.51083279,63.57236099
05-02-2,35.40365652243403,35.69952202,5.56757359001552,18.43850708,53.42884445
05-03-2,39.283141136163195,39.1341362,6.936927073502557,20.42130852,64.67302704
05-04-2,34.25706373982639,34.49084854,4.831521321277972,18.388834,50.33543015
05-05-2,37.08140688673264,36.52383995,6.974015959734653,15.25255489,65.00268555
05-06-2,46.714088657239586,47.789180755000004,8.597364229770045,17.93173409,73.61831665
05-07-2,52.02097695280209,51.415494915,10.087896627631254,16.25028801,86.60194397
05-08-2,57.023366150027776,56.67030525,11.86837789754149,24.24416161,150.7184296
05-09-2,52.23704230327083,52.41121292,10.714093102967759,19.69724083,95.22235107
